Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ashwagandha Coffee new Comparison Table (product.metafields.custom.ashwagandha_coffee_new_comparison_table),ash_how_to_use (product.metafields.custom.ash_how_to_use),ash_image_review (product.metafields.custom.ash_image_review),ash_ingredients (product.metafields.custom.ash_ingredients),Ash Refill Text (product.metafields.custom.ash_refill_text),Ash Shipping text (product.metafields.custom.ash_shipping_text),Ash Subscription Paragraph (product.metafields.custom.ash_subscription_paragraph),Ash subtitle (product.metafields.custom.ash_subtitle),ash_USP (product.metafields.custom.ash_usp),Badges (product.metafields.custom.badges),Caffeine (product.metafields.custom.caffeine),Drinkware Features (product.metafields.custom.drinkware_features),FAQs (product.metafields.custom.faqs),Form (product.metafields.custom.form),Gift Type (product.metafields.custom.gift_type),Ingredients (product.metafields.custom.ingredients),No. of Cups (product.metafields.custom.no_of_cups),Packaging (product.metafields.custom.packaging),Product Card Subtitle (product.metafields.custom.product_card_subtitle),seo_description (product.metafields.custom.seo_description),SE Date of Picking (product.metafields.custom.se_date_of_picking),SE Estate (product.metafields.custom.se_estate),SE Grade (product.metafields.custom.se_grade),SE Invoice (product.metafields.custom.se_invoice),SE Origin (product.metafields.custom.se_origin),SE Season (product.metafields.custom.se_season),Steeping Instructions - Hot Brew (product.metafields.custom.steeping_instructions_hot_brew),Steeping Instructions - Iced Brew (product.metafields.custom.steeping_instructions_iced_brew),Subtitle (product.metafields.custom.subtitle),Tasting Notes (product.metafields.custom.tasting_notes),Type Filter (product.metafields.custom.type_filter),Whats Inside (product.metafields.custom.whats_inside),Product subtitle (product.metafields.descriptors.subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Dietary preferences (product.metafields.shopify.dietary-preferences),Flavor (product.metafields.shopify.flavor),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / UK,Price / UK,Compare At Price / UK,Status
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/Castleton_premium-1.jpg?v=1747135695,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/Castleton_premium.jpg?v=1747135695,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/5_0f4f7ac1-96c9-474d-b9fe-a73b3adff76f.jpg?v=1777550256,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/11_CN_PN_Teach_me_cf7b03e6-ee38-4e31-b056-91472db04beb.jpg?v=1776171687,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/10_farmer_8a753d39-d760-4e83-aac3-d9ab45db4997.jpg?v=1776171687,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/Founderstory_1.jpg?v=1776172167,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-barnesbeg-premium-darjeeling-first-flush-black-tea,2026 Barnesbeg Premium Darjeeling First Flush Black Tea FF BT-100g,"<p><span data-sheets-root=""1"">Experience the early invoice made from the freshly sprouted shoots that are tender, delicate, vibrant, and vivacious, with an amazing floral flavour and vegetal sweetness.</span></p>",VAHDAM® Global,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Single Estate,"2026, 2026-first-flush, barnesbeg, Black Loose Leaf Teas, black-teas, darjeeling, first-flush, first_flush_offer, floral, loose-leaf, medium-caffeine, other_estates, Restrict_CA, Restrict_ES, Restrict_GR, Restrict_IT, Restrict_MX, Restrict_US, single-estate",false,Title,Default Title,,,,,,,,ON-OJY9-2QUZ,0.0,shopify,deny,manual,24.99,24.99,true,true,,,,,LF010003999-BT-USA,https://cdn.shopify.com/s/files/1/1141/4138/files/Barnesbeg_-2_f37c23e4-3e63-465a-a780-9542d405e1dc.jpg?v=1747136674,1,"",false,2026 Barnesbeg Premium Darjeeling First Flush Black Tea-100g | VAHDAM®,"Experience 2026 Barnesbeg Darjeeling First Flush Black Tea. Buy premium spring tea with floral aroma and fresh, lively character.",,,,,,,,,,,,,,,,,,,,,,Medium Caffeine,,where-is-barnesbeg-estate-located; what-are-the-flavor-notes-of-this-tea; is-this-a-limited-edition-tea-2; does-this-tea-contain-caffeine-4,Loose Leaf,,barnesbeg-premium-darjeeling-first-flush-black-tea,'50,Vacuum Packaged,Loose Leaf | 50 Cups,,'2026-04-17,barnesbeg-premium-ff-24,FTGFOP1,DJ 29/26,North Darjeeling,Spring/First Flush,place-1-tea-spoon-leaves-in-a-cup-or-tea-pot; 200-ml-freshly-boiled-water-over-the-leaves; water-temperature-194-f-212-f-90-c-100-c; brew-for-3-5-mins-strain-the-leaves; to-be-served-without-milk,for-iced-tea-use-2-tea-spoons-brew-for-5-mins; refrigerate-for-3-4-hours-add-ice-cubes-sweetener-1,Loose Leaf Tea | 50 Cups | 100 gm,"Citrusy, Smooth, Floral",Single Estate,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
2026-barnesbeg-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/3_f4ea5709-1ba1-4765-9a25-0f08dcb9c42f.jpg?v=1777548952,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-barnesbeg-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/Barnesbeg_-1_9bf11b45-6ddf-4350-8a36-d5880b66765d.jpg?v=1747136674,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-barnesbeg-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/Barnesbeg_9532db12-1a46-418f-95cb-2f361a821bcb.jpg?v=1747136674,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
